Metabolite,Coefficient
NEG.D-GLUCONIC ACID*,0.7136973524389448
NEG.MYO-INOSITOL,0.6630542822277514
POS.ACar 11:1,-0.556181757303991
NEG.4-HYDROXYBENZOATE,0.4206539876071329
NEG.RESORCINOL MONOACETATE,0.3296996834285959
NEG.L-ARGININE,0.27443659105281715
NEG.LEUCINE_FE,-0.25853410566906065
NEG.Phenylacetylglutamine (PAG)_FE,0.23491391829566108
POS.trimethylamine N-oxide (TMAO),0.21797647161769043
NEG.3-hydroxyisovaleric acid,0.21693204946515063
NEG.HOMOVANILLIC ACID,0.21391553266432528
POS.2-AMINO-2-METHYLPROPANOIC ACID/4-AMINOBUTANOATE/DL-3-AMINOISOBUTANATE,0.175986086711583
NEG.3-HYDROXYANTHRANILIC ACID,-0.16069635178938638
POS.Propionyl-L-carnitine (C3:0)_FE,-0.1362761940861012
POS.Cortisol_FE,0.13371437025464347
NEG.(S)-LACTATE 1.0499887,-0.050771714063944644
POS.ACar 18:0_FE,-0.0490859361684651
NEG.LysoPE (20:4)_FE,-0.025320596199481654
POS.LPC 18:2/0:0_FE,-0.0045802437002037955
NEG.Linoleic acid_FE,0.004344777778102547
POS.Naproxen,0.0017935720953335815
